Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
21_liver,12/11/2025,4:31:47 PM,20.7, ,mg,20,mL,Hg 253.7,12/11/2025,4:33:38 PM,0.080867897,1.309098781,0.001058641,0.724626632,0.70012235,0.725,0.7,1.906286366,0.013813459,0.013346337,ug/L,ug/g,1,12/11/2025,4:32:37 PM,2,12/11/2025,4:33:07 PM,3,12/11/2025,4:33:38 PM
25_liver,12/11/2025,4:34:19 PM,20.6, ,mg,20,mL,Hg 253.7,12/11/2025,4:36:09 PM,0.134829238,1.10544446,0.001490462,1.428730282,1.387116779,1.429,1.387,1.361208404,0.019447997,0.01888155,ug/L,ug/g,1,12/11/2025,4:35:09 PM,2,12/11/2025,4:35:39 PM,3,12/11/2025,4:36:09 PM
QAQC,12/11/2025,4:36:51 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:38:43 PM,0.101330476,1.173853122,0.001189471,0.991628457, ,0.992, ,1.565159945,0.015520571, ,ug/L,ug/g,1,12/11/2025,4:37:42 PM,2,12/11/2025,4:38:13 PM,3,12/11/2025,4:38:43 PM
Standard blank,12/11/2025,4:39:26 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:41:16 PM,0.034843025,0.273569081,9.531974353e-005,0.124080389, ,0.124, ,1.00238275,0.00124376, ,ug/L,ug/g,1,12/11/2025,4:40:15 PM,2,12/11/2025,4:40:45 PM,3,12/11/2025,4:41:16 PM
40_pec,12/11/2025,4:41:57 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,4:43:48 PM,0.049894838,1.523226251,0.000760011,0.320480933,0.3188865,0.32,0.319,3.094366172,0.009916854,0.009867516,ug/L,ug/g,1,12/11/2025,4:42:47 PM,2,12/11/2025,4:43:18 PM,3,12/11/2025,4:43:48 PM
4_pec,12/11/2025,4:44:31 PM,19.5, ,mg,20,mL,Hg 253.7,12/11/2025,4:46:21 PM,0.0744763,0.869745207,0.000647754,0.641227171,0.657668894,0.641,0.658,1.318111309,0.008452088,0.008668808,ug/L,ug/g,1,12/11/2025,4:45:21 PM,2,12/11/2025,4:45:51 PM,3,12/11/2025,4:46:21 PM
44_lung,12/11/2025,4:47:04 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,4:48:56 PM,0.059726225,1.271106955,0.000759184,0.448763793,0.451018887,0.449,0.451,2.207411063,0.009906062,0.009955841,ug/L,ug/g,1,12/11/2025,4:47:55 PM,2,12/11/2025,4:48:26 PM,3,12/11/2025,4:48:56 PM
44_lung,12/11/2025,4:47:04 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,4:48:56 PM,0.059726225,1.271106955,0.000759184,0.448763793,0.451018887,0.449,0.451,2.207411063,0.009906062,0.009955841,ug/L,ug/g,1,12/11/2025,4:47:55 PM,2,12/11/2025,4:48:26 PM,3,12/11/2025,4:48:56 PM
Standard blank,12/11/2025,4:49:39 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:51:29 PM,0.039298441,19.12834894,0.007517143,0.182215985, ,0.182, ,53.82948209,0.098085921, ,ug/L,ug/g,1,12/11/2025,4:50:29 PM,2,12/11/2025,4:50:59 PM,3,12/11/2025,4:51:29 PM
Standard blank,12/11/2025,4:49:39 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:51:29 PM,0.039298441,19.12834894,0.007517143,0.182215985, ,0.182, ,53.82948209,0.098085921, ,ug/L,ug/g,1,12/11/2025,4:50:29 PM,2,12/11/2025,4:50:59 PM,3,12/11/2025,4:51:29 PM
Calib Blank 1,12/11/2025,4:55:21 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:57:11 PM,-0.000252836,62.24501555,0.000157378, , ,[0.00], ,0,0, ,ug/L,ug/g,1,12/11/2025,4:56:11 PM,2,12/11/2025,4:56:41 PM,3,12/11/2025,4:57:11 PM
Calib Std 1,12/11/2025,4:57:52 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:59:42 PM,0.006518672,12.44681714,0.000811367, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,ug/L,ug/g,1,12/11/2025,4:58:42 PM,2,12/11/2025,4:59:12 PM,3,12/11/2025,4:59:42 PM
Calib Std 2,12/11/2025,5:00:24 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:02:14 PM,0.035701094,4.150536054,0.001481787, , ,[0.5], ,0,0, ,ug/L,ug/g,1,12/11/2025,5:01:13 PM,2,12/11/2025,5:01:44 PM,3,12/11/2025,5:02:14 PM
Calib Std 3,12/11/2025,5:02:56 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:04:47 PM,0.343715805,1.567304289,0.005387073, , ,[5], ,0,0, ,ug/L,ug/g,1,12/11/2025,5:03:46 PM,2,12/11/2025,5:04:17 PM,3,12/11/2025,5:04:47 PM
Calib Std 4,12/11/2025,5:05:29 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:07:20 PM,0.682237337,1.411233359,0.009627961, , ,[10], ,0,0, ,ug/L,ug/g,1,12/11/2025,5:06:19 PM,2,12/11/2025,5:06:50 PM,3,12/11/2025,5:07:20 PM
