Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
48_heart,12/13/2025,3:03:48 PM,20.1, ,mg,20,mL,Hg 253.7,12/13/2025,3:05:39 PM,0.047262279,2.373601374,0.001121818,0.704313079,0.700809033,0.704,0.701,2.408009755,0.016959928,0.01687555,ug/L,ug/g,1,12/13/2025,3:04:39 PM,2,12/13/2025,3:05:09 PM,3,12/13/2025,3:05:39 PM
30_heart,12/13/2025,3:06:23 PM,19.7, ,mg,20,mL,Hg 253.7,12/13/2025,3:08:14 PM,0.037822712,0.656003718,0.000248118,0.561603345,0.57015568,0.562,0.57,0.667929828,0.003751116,0.00380824,ug/L,ug/g,1,12/13/2025,3:07:13 PM,2,12/13/2025,3:07:44 PM,3,12/13/2025,3:08:14 PM
24_pec,12/13/2025,3:08:58 PM,20.1, ,mg,20,mL,Hg 253.7,12/13/2025,3:10:48 PM,0.03590826,0.291807208,0.000104783,0.532660178,0.530010128,0.533,0.53,0.297400506,0.001584134,0.001576253,ug/L,ug/g,1,12/13/2025,3:09:47 PM,2,12/13/2025,3:10:18 PM,3,12/13/2025,3:10:48 PM
16_pec,12/13/2025,3:11:30 PM,20.4, ,mg,20,mL,Hg 253.7,12/13/2025,3:13:21 PM,0.021874621,5.344513155,0.001169092,0.320496103,0.314211866,0.32,0.314,5.514771188,0.017674627,0.017328065,ug/L,ug/g,1,12/13/2025,3:12:20 PM,2,12/13/2025,3:12:50 PM,3,12/13/2025,3:13:21 PM
38_lung,12/13/2025,3:14:03 PM,19.8, ,mg,20,mL,Hg 253.7,12/13/2025,3:15:54 PM,0.121413957,1.067649586,0.001296276,1.825356774,1.843794721,1.825,1.844,1.073621357,0.01959742,0.019795374,ug/L,ug/g,1,12/13/2025,3:14:53 PM,2,12/13/2025,3:15:23 PM,3,12/13/2025,3:15:54 PM
42_lung,12/13/2025,3:16:36 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,3:18:27 PM,0.052220404,2.544050442,0.001328513,0.779271259,0.771555702,0.779,0.772,2.577382281,0.020084799,0.01988594,ug/L,ug/g,1,12/13/2025,3:17:26 PM,2,12/13/2025,3:17:57 PM,3,12/13/2025,3:18:27 PM
QAQC,12/13/2025,3:19:09 PM, , ,g, ,mL,Hg 253.7,12/13/2025,3:21:02 PM,0.065946604,0.228018547,0.00015037,1.011527332, ,1.012, ,0.224743191,0.002273339, ,ug/L,ug/g,1,12/13/2025,3:20:01 PM,2,12/13/2025,3:20:31 PM,3,12/13/2025,3:21:02 PM
Standard blank,12/13/2025,3:21:45 PM, , ,g, ,mL,Hg 253.7,12/13/2025,3:23:35 PM,0.000138024,277.0340521,0.000382375,0.016616699, ,0.017, ,34.78932157,0.005780837, ,ug/L,ug/g,1,12/13/2025,3:22:35 PM,2,12/13/2025,3:23:05 PM,3,12/13/2025,3:23:35 PM
36_liver,12/13/2025,3:24:17 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,3:26:08 PM,0.118942479,1.231580221,0.001464872,1.787992345,1.787992345,1.788,1.788,1.238612875,0.022146303,0.022146303,ug/L,ug/g,1,12/13/2025,3:25:07 PM,2,12/13/2025,3:25:37 PM,3,12/13/2025,3:26:08 PM
24_liver,12/13/2025,3:26:50 PM,20.5, ,mg,20,mL,Hg 253.7,12/13/2025,3:28:41 PM,0.059794326,3.040324752,0.001817942,0.893775712,0.871976305,0.894,0.872,3.07505546,0.027484099,0.026813755,ug/L,ug/g,1,12/13/2025,3:27:40 PM,2,12/13/2025,3:28:11 PM,3,12/13/2025,3:28:41 PM
26_brain,12/13/2025,3:29:24 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,3:31:14 PM,0.023486519,4.092941443,0.000961289,0.344865173,0.344865173,0.345,0.345,4.214115153,0.014533016,0.014533016,ug/L,ug/g,1,12/13/2025,3:30:14 PM,2,12/13/2025,3:30:44 PM,3,12/13/2025,3:31:14 PM
8_brain,12/13/2025,3:31:57 PM,20.5, ,mg,20,mL,Hg 253.7,12/13/2025,3:33:47 PM,0.025170507,2.39379221,0.00060253,0.370324131,0.361291835,0.37,0.361,2.459789583,0.009109194,0.008887019,ug/L,ug/g,1,12/13/2025,3:32:47 PM,2,12/13/2025,3:33:17 PM,3,12/13/2025,3:33:47 PM
32_pec,12/13/2025,3:34:29 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,3:36:20 PM,0.035412204,3.803285954,0.001346827,0.525160679,0.527799677,0.525,0.528,3.877227579,0.020361675,0.020463995,ug/L,ug/g,1,12/13/2025,3:35:20 PM,2,12/13/2025,3:35:50 PM,3,12/13/2025,3:36:20 PM
21_pec,12/13/2025,3:37:02 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,3:38:52 PM,0.020848296,10.61945668,0.002213976,0.304979851,0.306512413,0.305,0.307,10.97496794,0.033471441,0.033639639,ug/L,ug/g,1,12/13/2025,3:37:52 PM,2,12/13/2025,3:38:22 PM,3,12/13/2025,3:38:52 PM
35_heart,12/13/2025,3:39:34 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,3:41:25 PM,0.023642881,9.791586175,0.002315013,0.347229101,0.34897397,0.347,0.349,10.07949776,0.034998949,0.035174824,ug/L,ug/g,1,12/13/2025,3:40:25 PM,2,12/13/2025,3:40:55 PM,3,12/13/2025,3:41:25 PM
15_brain,12/13/2025,3:42:08 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,3:43:59 PM,0.038824939,1.862144838,0.000722977,0.576755263,0.579653531,0.577,0.58,1.895109156,0.010930142,0.010985067,ug/L,ug/g,1,12/13/2025,3:42:58 PM,2,12/13/2025,3:43:28 PM,3,12/13/2025,3:43:59 PM
45_heart,12/13/2025,3:44:41 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,3:46:32 PM,0.030532168,3.513489451,0.001072745,0.451383074,0.446913934,0.451,0.447,3.592961717,0.016218021,0.016057447,ug/L,ug/g,1,12/13/2025,3:45:32 PM,2,12/13/2025,3:46:02 PM,3,12/13/2025,3:46:32 PM
18_brain,12/13/2025,3:47:15 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,3:49:07 PM,0.035663205,2.265018246,0.000807778,0.528955368,0.528955368,0.529,0.529,2.308737716,0.012212192,0.012212192,ug/L,ug/g,1,12/13/2025,3:48:06 PM,2,12/13/2025,3:48:37 PM,3,12/13/2025,3:49:07 PM
QAQC,12/13/2025,3:49:50 PM, , ,g, ,mL,Hg 253.7,12/13/2025,3:51:41 PM,0.065325457,0.507832948,0.000331744,1.002136669, ,1.002, ,0.500469862,0.005015392, ,ug/L,ug/g,1,12/13/2025,3:50:41 PM,2,12/13/2025,3:51:11 PM,3,12/13/2025,3:51:41 PM
Standard blank,12/13/2025,3:52:24 PM, , ,g, ,mL,Hg 253.7,12/13/2025,3:54:14 PM,0.000485112,81.17878334,0.000393808,0.021864053, ,0.022, ,27.23047782,0.005953686, ,ug/L,ug/g,1,12/13/2025,3:53:13 PM,2,12/13/2025,3:53:44 PM,3,12/13/2025,3:54:14 PM
27_liver,12/13/2025,3:54:56 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,3:56:47 PM,0.034871194,3.44215936,0.001200322,0.516981545,0.511862915,0.517,0.512,3.510138888,0.01814677,0.017967099,ug/L,ug/g,1,12/13/2025,3:55:46 PM,2,12/13/2025,3:56:17 PM,3,12/13/2025,3:56:47 PM
42_liver,12/13/2025,3:57:29 PM,20.9, ,mg,20,mL,Hg 253.7,12/13/2025,3:59:20 PM,0.088853202,2.656798515,0.002360651,1.333095099,1.27568909,1.333,1.276,2.67714642,0.035688908,0.034152065,ug/L,ug/g,1,12/13/2025,3:58:19 PM,2,12/13/2025,3:58:50 PM,3,12/13/2025,3:59:20 PM
41_lung,12/13/2025,4:00:03 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,4:01:54 PM,0.084750653,5.220847307,0.004424702,1.27107174,1.27107174,1.271,1.271,5.2627839,0.066893759,0.066893759,ug/L,ug/g,1,12/13/2025,4:00:53 PM,2,12/13/2025,4:01:24 PM,3,12/13/2025,4:01:54 PM
43_heart,12/13/2025,4:02:37 PM,20.1, ,mg,20,mL,Hg 253.7,12/13/2025,4:04:28 PM,0.051845589,2.195303223,0.001138168,0.773604713,0.769755933,0.774,0.77,2.2242765,0.017207108,0.0171215,ug/L,ug/g,1,12/13/2025,4:03:27 PM,2,12/13/2025,4:03:57 PM,3,12/13/2025,4:04:28 PM
tuna_2,12/13/2025,4:05:10 PM,25.1, ,mg,20,mL,Hg 253.7,12/13/2025,4:07:01 PM,0.043452777,6.391209033,0.002777158,0.646720078,0.515314804,0.647,0.515,6.492108504,0.041985769,0.033454796,ug/L,ug/g,1,12/13/2025,4:06:01 PM,2,12/13/2025,4:06:31 PM,3,12/13/2025,4:07:01 PM
42_heart,12/13/2025,4:07:44 PM,19.7, ,mg,20,mL,Hg 253.7,12/13/2025,4:08:34 PM,0.044176061, , ,0.657654862,0.667669911,0.658,0.668, , , ,ug/L,ug/g,1,12/13/2025,4:08:34 PM,,,,,,
tuna_2,12/13/2025,4:10:41 PM,25.1, ,mg,20,mL,Hg 253.7,12/13/2025,4:12:33 PM,0.327221054,2.123914478,0.006949895,4.936800157,3.933705305,4.937,3.934,2.128306997,0.105070263,0.083721325,ug/L,ug/g,1,12/13/2025,4:11:32 PM,2,12/13/2025,4:12:02 PM,3,12/13/2025,4:12:33 PM
42_heart,12/13/2025,4:13:16 PM,19.7, ,mg,20,mL,Hg 253.7,12/13/2025,4:15:07 PM,0.043241822,5.832859433,0.002522235,0.643530803,0.653330764,0.644,0.653,5.925400474,0.038131777,0.038712464,ug/L,ug/g,1,12/13/2025,4:14:06 PM,2,12/13/2025,4:14:37 PM,3,12/13/2025,4:15:07 PM
42_pec,12/13/2025,4:15:49 PM,20.6, ,mg,20,mL,Hg 253.7,12/13/2025,4:17:40 PM,0.042345746,3.613096778,0.001529993,0.629983702,0.611634662,0.63,0.612,3.671652925,0.023130815,0.022457102,ug/L,ug/g,1,12/13/2025,4:16:40 PM,2,12/13/2025,4:17:10 PM,3,12/13/2025,4:17:40 PM
13_pec,12/13/2025,4:18:23 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,4:20:14 PM,0.044682407,3.290865578,0.001470438,0.665309937,0.65872271,0.665,0.659,3.341367552,0.02223045,0.022010347,ug/L,ug/g,1,12/13/2025,4:19:13 PM,2,12/13/2025,4:19:44 PM,3,12/13/2025,4:20:14 PM
36_brain,12/13/2025,4:20:57 PM,20.1, ,mg,20,mL,Hg 253.7,12/13/2025,4:22:47 PM,0.070022271,4.385489789,0.00307082,1.048404362,1.04318842,1.048,1.043,4.428198011,0.046425421,0.046194449,ug/L,ug/g,1,12/13/2025,4:21:47 PM,2,12/13/2025,4:22:17 PM,3,12/13/2025,4:22:47 PM
3_brain,12/13/2025,4:23:30 PM,20.4, ,mg,20,mL,Hg 253.7,12/13/2025,4:25:21 PM,0.022689543,7.993984421,0.001813799,0.332816288,0.326290478,0.333,0.326,8.239218566,0.027421461,0.026883786,ug/L,ug/g,1,12/13/2025,4:24:20 PM,2,12/13/2025,4:24:51 PM,3,12/13/2025,4:25:21 PM
