Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
5_liver,12/13/2025,5:17:11 PM,20.6, ,mg,20,mL,Hg 253.7,12/13/2025,5:19:03 PM,0.055708351,3.002914868,0.001672874,0.832002921,0.807769826,0.832,0.808,3.039765113,0.025290935,0.024554305,ug/L,ug/g,1,12/13/2025,5:18:02 PM,2,12/13/2025,5:18:33 PM,3,12/13/2025,5:19:03 PM
34_liver,12/13/2025,5:19:47 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,5:21:38 PM,0.048192491,4.503026868,0.002170121,0.718376262,0.711263626,0.718,0.711,4.567026102,0.032808431,0.032483595,ug/L,ug/g,1,12/13/2025,5:20:38 PM,2,12/13/2025,5:21:08 PM,3,12/13/2025,5:21:38 PM
5_brain,12/13/2025,5:22:22 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,5:24:14 PM,0.031127699,6.091512857,0.001896148,0.460386454,0.460386454,0.46,0.46,6.226603367,0.028666438,0.028666438,ug/L,ug/g,1,12/13/2025,5:23:13 PM,2,12/13/2025,5:23:44 PM,3,12/13/2025,5:24:14 PM
1_brain,12/13/2025,5:24:58 PM,20.6, ,mg,20,mL,Hg 253.7,12/13/2025,5:26:49 PM,0.032376586,5.330963297,0.001725984,0.479267444,0.465308198,0.479,0.465,5.444529728,0.026093858,0.025333843,ug/L,ug/g,1,12/13/2025,5:25:49 PM,2,12/13/2025,5:26:19 PM,3,12/13/2025,5:26:49 PM
11_pec,12/13/2025,5:27:33 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,5:29:25 PM,0.039270917,9.750464405,0.003829097,0.583497674,0.586429823,0.583,0.586,9.921075939,0.057889247,0.058180148,ug/L,ug/g,1,12/13/2025,5:28:24 PM,2,12/13/2025,5:28:54 PM,3,12/13/2025,5:29:25 PM
QAQC,12/13/2025,5:30:09 PM, , ,g, ,mL,Hg 253.7,12/13/2025,5:32:00 PM,0.067391366,1.260495952,0.000849465,1.033369606, ,1.033, ,1.242772361,0.012842432, ,ug/L,ug/g,1,12/13/2025,5:30:59 PM,2,12/13/2025,5:31:29 PM,3,12/13/2025,5:32:00 PM
Standard blank,12/13/2025,5:32:43 PM, , ,g, ,mL,Hg 253.7,12/13/2025,5:34:33 PM,0.000982895,76.36822419,0.000750619,0.02938966, ,0.029, ,38.61238978,0.01134805, ,ug/L,ug/g,1,12/13/2025,5:33:32 PM,2,12/13/2025,5:34:02 PM,3,12/13/2025,5:34:33 PM
47_heart,12/13/2025,5:35:14 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,5:37:05 PM,0.046441714,4.33947869,0.002015328,0.691907574,0.695384496,0.692,0.695,4.403512846,0.030468239,0.030621346,ug/L,ug/g,1,12/13/2025,5:36:05 PM,2,12/13/2025,5:36:35 PM,3,12/13/2025,5:37:05 PM
27_heart,12/13/2025,5:37:49 PM,20.1, ,mg,20,mL,Hg 253.7,12/13/2025,5:39:41 PM,0.024224893,3.443422007,0.000834165,0.356028092,0.354256808,0.356,0.354,3.542169982,0.01261112,0.012548378,ug/L,ug/g,1,12/13/2025,5:38:41 PM,2,12/13/2025,5:39:11 PM,3,12/13/2025,5:39:41 PM
17_pec,12/13/2025,5:40:25 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,5:42:17 PM,0.050164155,3.202436678,0.001606475,0.748184375,0.748184375,0.748,0.748,3.246137956,0.024287097,0.024287097,ug/L,ug/g,1,12/13/2025,5:41:16 PM,2,12/13/2025,5:41:47 PM,3,12/13/2025,5:42:17 PM
tuna_3,12/13/2025,5:43:00 PM,24.8, ,mg,20,mL,Hg 253.7,12/13/2025,5:44:53 PM,0.335910834,1.379956401,0.004635423,5.06817443,4.087237444,5.068,4.087,1.382736345,0.07007949,0.056515718,ug/L,ug/g,1,12/13/2025,5:43:52 PM,2,12/13/2025,5:44:23 PM,3,12/13/2025,5:44:53 PM
7_brain,12/13/2025,5:45:37 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,5:47:28 PM,0.044522107,9.836209123,0.004379288,0.662886471,0.656323239,0.663,0.656,9.987708487,0.066207168,0.065551652,ug/L,ug/g,1,12/13/2025,5:46:28 PM,2,12/13/2025,5:46:58 PM,3,12/13/2025,5:47:28 PM
QAQC,12/13/2025,5:48:12 PM, , ,g, ,mL,Hg 253.7,12/13/2025,5:50:04 PM,0.066088916,1.335246982,0.00088245,1.013678847, ,1.014, ,1.316107632,0.013341105, ,ug/L,ug/g,1,12/13/2025,5:49:03 PM,2,12/13/2025,5:49:33 PM,3,12/13/2025,5:50:04 PM
Standard blank,12/13/2025,5:50:46 PM, , ,g, ,mL,Hg 253.7,12/13/2025,5:52:36 PM,0.000749167,34.58497745,0.000259099,0.025856099, ,0.026, ,15.14971363,0.003917125, ,ug/L,ug/g,1,12/13/2025,5:51:36 PM,2,12/13/2025,5:52:06 PM,3,12/13/2025,5:52:36 PM
